2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
02,94978,Fairfax,Po Box,Fairfax,,*
02,94979,San Anselmo,Po Box,San Anselmo,,*
02,94998,Firemans Fund Ins,Unique Organization,Novato,,*
02,94999,Petaluma,Non Unique,Petaluma,,*
02,95401,Santa Rosa,Non Unique,Santa Rosa,1.2,
02,95403,Santa Rosa,Non Unique,Santa Rosa,18.9,
02,95404,Santa Rosa,Non Unique,Santa Rosa,3.2,
02,95407,Santa Rosa,Non Unique,Santa Rosa,0.0,
02,95410,Albion,Non Unique,Albion,100.0,
02,95412,Annapolis,Non Unique,Annapolis,100.0,
02,95415,Boonville,Non Unique,Boonville,100.0,
02,95417,Branscomb,Non Unique,Branscomb,100.0,
02,95418,Calpella,Po Box,Calpella,,*
02,95419,Camp Meeker,Po Box,Camp Meeker,100.0,
02,95420,Caspar,Non Unique,Caspar,100.0,
02,95421,Cazadero,Non Unique,Cazadero,100.0,
02,95425,Cloverdale,Non Unique,Cloverdale,100.0,
02,95427,Comptche,Non Unique,Comptche,100.0,
02,95428,Covelo,Non Unique,Covelo,100.0,
02,95429,Dos Rios,Non Unique,Dos Rios,100.0,
02,95430,Duncans Mills,Po Box,Duncans Mills,100.0,
02,95432,Elk,Non Unique,Elk,100.0,
02,95436,Forestville,Non Unique,Forestville,100.0,
02,95437,Fort Bragg,Non Unique,Fort Bragg,100.0,
02,95439,Fulton,Non Unique,Fulton,0.0,
02,95441,Geyserville,Non Unique,Geyserville,100.0,
02,95444,Graton,Non Unique,Graton,100.0,
02,95445,Gualala,Non Unique,Gualala,100.0,
02,95446,Guerneville,Non Unique,Guerneville,100.0,
02,95448,Healdsburg,Non Unique,Healdsburg,100.0,
02,95449,Hopland,Non Unique,Hopland,100.0,
02,95450,Jenner,Non Unique,Jenner,100.0,
02,95451,Kelseyville,Non Unique,Kelseyville,0.0,
02,95453,Lakeport,Non Unique,Lakeport,0.0,
02,95454,Laytonville,Non Unique,Laytonville,100.0,
02,95456,Little River,Non Unique,Little River,100.0,
02,95459,Manchester,Non Unique,Manchester,100.0,
02,95460,Mendocino,Non Unique,Mendocino,100.0,
02,95461,Middletown,Non Unique,Middletown,0.0,
02,95462,Monte Rio,Non Unique,Monte Rio,100.0,
02,95465,Occidental,Non Unique,Occidental,100.0,
02,95466,Philo,Non Unique,Philo,100.0,
02,95468,Point Arena,Non Unique,Point Arena,100.0,
02,95469,Potter Valley,Non Unique,Potter Valley,96.3,
02,95470,Redwood Valley,Non Unique,Redwood Valley,100.0,
02,95471,Rio Nido,Po Box,Rio Nido,,*
02,95472,Sebastopol,Non Unique,Sebastopol,97.4,
02,95473,Sebastopol,Po Box,Sebastopol,,*
02,95480,Stewarts Point,Non Unique,Stewarts Point,100.0,
02,95481,Talmage,Po Box,Talmage,,*
02,95482,Ukiah,Non Unique,Ukiah,100.0,
02,95485,Upper Lake,Non Unique,Upper Lake,0.0,
02,95486,Villa Grande,Po Box,Villa Grande,100.0,
02,95488,Westport,Non Unique,Westport,100.0,
02,95490,Willits,Non Unique,Willits,100.0,
02,95492,Windsor,Non Unique,Windsor,98.7,
02,95493,Witter Springs,Non Unique,Witter Springs,0.0,
02,95494,Yorkville,Non Unique,Yorkville,100.0,
02,95497,The Sea Ranch,Po Box,The Sea Ranch,,
02,95501,Eureka,Non Unique,Eureka,100.0,
02,95502,Eureka,Po Box,Eureka,,*
02,95503,Eureka,Non Unique,Eureka,100.0,
02,95511,Alderpoint,Non Unique,Alderpoint,100.0,
02,95514,Blocksburg,Non Unique,Blocksburg,100.0,
02,95518,Arcata,Po Box,Arcata,,*
02,95519,Mckinleyville,Non Unique,Mckinleyville,100.0,
02,95521,Arcata,Non Unique,Arcata,100.0,
02,95524,Bayside,Non Unique,Bayside,100.0,
02,95525,Blue Lake,Non Unique,Blue Lake,100.0,
02,95526,Bridgeville,Non Unique,Bridgeville,100.0,
02,95527,Burnt Ranch,Non Unique,Burnt Ranch,100.0,
02,95528,Carlotta,Non Unique,Carlotta,100.0,
02,95531,Crescent City,Non Unique,Crescent City,100.0,
02,95532,Pelican Bay State Prison,Unique Organization,Crescent City,,*
02,95534,Cutten,Po Box,Cutten,,*
02,95536,Ferndale,Non Unique,Ferndale,100.0,
02,95537,Fields Landing,Po Box,Fields Landing,100.0,
02,95538,Fort Dick,Po Box,Fort Dick,,*
02,95540,Fortuna,Non Unique,Fortuna,100.0,
02,95542,Garberville,Non Unique,Garberville,100.0,
02,95543,Gasquet,Non Unique,Gasquet,100.0,
02,95546,Hoopa,Non Unique,Hoopa,100.0,
02,95547,Hydesville,Non Unique,Hydesville,100.0,
02,95548,Klamath,Non Unique,Klamath,100.0,
02,95549,Kneeland,Non Unique,Kneeland,100.0,
02,95550,Korbel,Non Unique,Korbel,100.0,
02,95551,Loleta,Non Unique,Loleta,100.0,
02,95552,Mad River,Non Unique,Mad River,100.0,
02,95553,Miranda,Po Box,Miranda,100.0,
02,95554,Myers Flat,Non Unique,Myers Flat,100.0,
02,95555,Orick,Non Unique,Orick,100.0,
